,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
0,007 Legends,1.0,0.7,8.81057268722467e-05,20216.0,Shooter,T,PC,Activision,Eurocom,,,,0.0,,0.0,,0.0,2012.0
1,0RBITALIS,3.0,1.2,0.00026431718061674007,,,,PC,,,,,,,,,,,
2,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),5.0,20.0,0.0004405286343612335,9199.0,Misc,,PC,Dejobaan Games,Dejobaan Games,,,0.19,,,,,,2011.0
3,10 Second Ninja,2.0,5.9,0.0001762114537444934,,,,PC,,,,,,,,,,,
4,"10,000,000",1.0,3.6,8.81057268722467e-05,52595.0,Puzzle,,PC,Unknown,EightyEightGames,,,,,,,,,2018.0
5,100% Orange Juice,9.0,78.30000000000001,0.0007929515418502203,,,,PC,,,,,,,,,,,
6,1000 Amps,1.0,0.1,8.81057268722467e-05,,,,PC,,,,,,,,,,,
7,12 Labours of Hercules,7.0,34.699999999999996,0.0006167400881057269,9863.0,Strategy,,PC,Jetdogs Studios,Jetdogs Studios,,,0.16,,,,,,2015.0
8,12 Labours of Hercules II The Cretan Bull,8.0,34.29999999999999,0.0007048458149779736,9439.0,Strategy,,PC,Unknown,Jetdogs Studios,,,0.18,,,,,,2005.0
9,12 Labours of Hercules III Girl Power,3.0,19.6,0.00026431718061674007,11855.0,Strategy,,PC,Jetdogs Studios,Jetdogs Studios,,,0.11,,,,,,2015.0
10,140,5.0,6.3,0.0004405286343612335,52602.0,Platform,,PC,Unknown,Carlsen Games,,,,,,,,,2019.0
11,15 Days,1.0,0.5,8.81057268722467e-05,19168.0,Adventure,,PC,DTP Entertainment,House of Tales,,,,0.01,,0.01,,0.0,2009.0
12,16bit Trader,2.0,8.9,0.0001762114537444934,,,,PC,,,,,,,,,,,
13,1701 A.D. Sunken Dragon,1.0,0.6,8.81057268722467e-05,,,,PC,,,,,,,,,,,
14,18 Wheels of Steel American Long Haul,1.0,5.8,8.81057268722467e-05,20515.0,Racing,E,PC,ValuSoft,SCS Software,,,,0.0,,0.0,,0.0,2007.0
15,1953 NATO vs Warsaw Pact,1.0,5.9,8.81057268722467e-05,,,,PC,,,,,,,,,,,
16,1Quest,1.0,2.7,8.81057268722467e-05,,,,PC,,,,,,,,,,,
17,3 Stars of Destiny,1.0,4.7,8.81057268722467e-05,21435.0,Misc,,PC,Unknown,Unknown,,,,,,,,,2009.0
18,3089 -- Futuristic Action RPG,1.0,0.3,8.81057268722467e-05,,,,PC,,,,,,,,,,,
19,3D Mini Golf,1.0,1.0,8.81057268722467e-05,,,,PC,,,,,,,,,,,
20,3DMark,18.0,240.8,0.0015859030837004405,,,,PC,,,,,,,,,,,
21,3DMark 11,1.0,3.0,8.81057268722467e-05,,,,PC,,,,,,,,,,,
22,3DMark Vantage,1.0,21.0,8.81057268722467e-05,,,,PC,,,,,,,,,,,
23,4 Elements,4.0,59.4,0.0003524229074889868,15010.0,Puzzle,E,PC,eGames,Playrix Entertainment,,,,0.05,,0.04,,0.01,2009.0
24,404Sight,7.0,3.6999999999999997,0.0006167400881057269,,,,PC,,,,,,,,,,,
25,500 Years Act 1,1.0,3.0,8.81057268722467e-05,,,,PC,,,,,,,,,,,
26,60 Seconds!,5.0,9.3,0.0004405286343612335,,,,PC,,,,,,,,,,,
27,7 Days to Die,98.0,4075.500000000001,0.008634361233480176,342.0,Action,M,PC,The Fun Pimps,The Fun Pimps,,,4.18,,,,,,2013.0
28,8BitBoy,8.0,27.2,0.0007048458149779736,21572.0,Misc,,PC,Unknown,Unknown,,,,,,,,,2014.0
29,8BitMMO,27.0,12.299999999999997,0.002378854625550661,,,,PC,,,,,,,,,,,
30,9 Clues 2 The Ward,1.0,5.1,8.81057268722467e-05,20754.0,Puzzle,,PC,Artifex Mundi sp. z o.o.,Artifex Mundi,,,,0.0,,0.0,,0.0,2015.0
31,9 Clues The Secret of Serpent Creek,4.0,11.2,0.0003524229074889868,,,,PC,,,,,,,,,,,
32,9.03m,1.0,0.3,8.81057268722467e-05,,,,PC,,,,,,,,,,,
33,99 Levels To Hell,5.0,6.9,0.0004405286343612335,,,,PC,,,,,,,,,,,
34,99 Spirits,1.0,3.9,8.81057268722467e-05,21581.0,Misc,,PC,RunnerGames,Unknown,,,,,,,,,2013.0
35,A Bird Story,7.0,11.6,0.0006167400881057269,21593.0,Misc,,PC,Freebird Games,Unknown,,,,,,,,,2013.0
36,A Game of Thrones - Genesis,13.0,79.2,0.0011453744493392071,9702.0,Strategy,,PC,Unknown,Cyanide Studios,,,0.17,,,,,,1996.0
37,A Golden Wake,1.0,1.2,8.81057268722467e-05,21616.0,Adventure,,PC,Wadjet Eye Games,Wadjet Eye Games,,,,,,,,,2014.0
38,A New Beginning - Final Cut,3.0,21.799999999999997,0.00026431718061674007,,,,PC,,,,,,,,,,,
39,A Story About My Uncle,4.0,13.6,0.0003524229074889868,5169.0,Misc,,PC,Coffee Stain Studios,Unknown,,,0.43,,,,,,2014.0
40,A Valley Without Wind,6.0,6.699999999999999,0.0005286343612334801,21648.0,Action,,PC,"Arcen Games, LLC","Arcen Games, LLC",,,,,,,,,2012.0
